Team Name,Team Full Name,Team ID,Appear,Win,Win Rate,Duration per Game,Duration per Win,Duration per Lose,Kill,Dead,Bloodiness,Minions Percent per Game,First Blood Percent,First Tower Percent,First Dragon Percent,First Baron Nashor Percent,Dragon Percent,Baron Nashor Percent,Rift Hearld Percent,Ten Minutes Gold Offset per Game,Damage per Minute,Tank per Minute,Put Eye per Minute,Destroy Eye per Minute,Buy True Eye per Minute,Lose
AL,Anyone's Legend,162,34,3,0.08823529411764706,1817.0294117647059,2267.3333333333335,1773.4516129032259,293,590,0.8555088024368368,0.44408146687447636,0.2647058823529412,0.3235294117647059,0.4117647058823529,0.17647058823529413,0.3225490196078432,0.17647058823529413,0.5147058823529411,-934.9705882352941,1644.8472782013305,2983.9518282911667,3.2681008109551786,1.4470936726071966,1.1431068809789733,31
LGD,Hangzhou LGD Gaming,13,37,11,0.2972972972972973,1834.1891891891892,2071.818181818182,1733.6538461538462,392,547,0.838872632997443,0.45720054394183746,0.3783783783783784,0.2972972972972973,0.6216216216216216,0.32432432432432434,0.4191441441441442,0.30630630630630634,0.3783783783783784,-929.3243243243244,1789.444632726737,2797.4225300228395,3.144772710528255,1.577248950121565,1.1237014661460252,26
OMG,Oh My God,69,39,11,0.28205128205128205,1823.5128205128206,2003.6363636363637,1752.75,403,594,0.8471391238776923,0.4607039347381516,0.4358974358974359,0.358974358974359,0.5641025641025641,0.38461538461538464,0.4414529914529914,0.36324786324786323,0.44871794871794873,-979.6923076923077,1783.6697273507039,2986.355161213212,3.3181939620625167,1.450286148178354,1.1794648255691327,28
TT,⁠ThunderTalk Gaming,182,38,12,0.3157894736842105,1859.0526315789473,1997.9166666666667,1794.9615384615386,424,598,0.8846069859593018,0.4692986437871496,0.39473684210526316,0.5263157894736842,0.5526315789473685,0.3684210526315789,0.4520676691729324,0.34210526315789475,0.5526315789473685,-634.3684210526316,1788.2266009852215,3162.2006115169015,3.3106845591982332,1.533038899269577,1.2697468999490402,26
RA,Rare Atom,72,45,25,0.5555555555555556,1967.1555555555556,1942.36,1998.15,566,571,0.7712530003053837,0.5222977616081436,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.4444444444444444,0.5012433862433862,0.4962962962962963,0.43333333333333335,149.53333333333333,2038.669483292289,2886.1286459863086,3.506247034635458,1.7751519396308264,1.0146630216217438,20
EDG,Edward Gaming,9,49,35,0.7142857142857143,1926.1224489795918,1937.857142857143,1896.7857142857142,708,489,0.7617088024254847,0.5098413994087048,0.5714285714285714,0.5306122448979592,0.5714285714285714,0.5510204081632653,0.5889941690962098,0.564625850340136,0.5204081632653061,187.10204081632654,1914.9205340114431,2686.364272091545,3.392244119516847,1.7031150667514303,1.1938970120788304,14
RNG,Royal Never Give Up,15,54,38,0.7037037037037037,1919.8148148148148,1931.6842105263158,1891.625,873,638,0.8932564080922292,0.5101096036457802,0.5555555555555556,0.5555555555555556,0.5,0.6481481481481481,0.5672178130511464,0.6574074074074074,0.4722222222222222,39.2962962962963,1964.0812192534004,2752.6688530915408,3.651972605382464,1.758850197742838,1.2616957654094725,16
JDG,Beijing JDG Intel Esports Club,81,37,25,0.6756756756756757,1874.837837837838,1914.92,1791.3333333333333,571,484,0.9184449532899958,0.530969694731878,0.4864864864864865,0.4864864864864865,0.4594594594594595,0.43243243243243246,0.5552767052767054,0.47747747747747743,0.4594594594594595,263.2432432432432,2138.1031873026855,2958.644639536392,3.4364053107295764,1.6511698309042944,1.0958785624702676,12
BLG,Bilibili Gaming,22,38,16,0.42105263157894735,1874.6842105263158,1889.5625,1863.8636363636363,438,544,0.8289930434483345,0.4917620116571846,0.4473684210526316,0.42105263157894735,0.47368421052631576,0.5526315789473685,0.4685463659147868,0.4780701754385964,0.32894736842105265,-346.7105263157895,1951.677756253685,2942.4442011286114,3.3774109323675567,1.5396277267750358,1.1783037143097785,22
ES,eStar Gaming,305,36,7,0.19444444444444445,1816.638888888889,1841.857142857143,1810.551724137931,376,559,0.8668654406375926,0.46493042895291864,0.6388888888888888,0.3055555555555556,0.3888888888888889,0.16666666666666666,0.394510582010582,0.16666666666666666,0.4166666666666667,-193.94444444444446,1761.39115276992,2823.7349194941817,3.4587684826985123,1.585345341671891,1.3394700224774079,29
WE,Xian Team WE,75,39,22,0.5641025641025641,1789.051282051282,1806.0454545454545,1767.0588235294117,517,472,0.8532877871293217,0.5185410163603109,0.4358974358974359,0.5897435897435898,0.5128205128205128,0.48717948717948717,0.5367521367521367,0.5256410256410257,0.6025641025641025,247.69230769230768,1871.8532956874435,2884.528399237527,3.2557006291832082,1.6751465466584494,1.1746664182420132,17
WBG,Weibo Gaming,143,43,28,0.6511627906976745,1886.139534883721,1782.1785714285713,2080.2,645,426,0.8110951795451302,0.5137935518709899,0.6046511627906976,0.4418604651162791,0.4883720930232558,0.5813953488372093,0.553156146179402,0.5581395348837209,0.5581395348837209,96.67441860465117,2063.2789998027224,2847.8797593213653,3.781071217202604,1.7362892089169462,1.285756559479187,15
LNG,Suzhou LNG Esports,74,38,16,0.42105263157894735,1810.8947368421052,1757.25,1849.909090909091,415,464,0.7837777210823068,0.49291173807845523,0.47368421052631576,0.5789473684210527,0.42105263157894735,0.42105263157894735,0.45469924812030077,0.40789473684210525,0.4605263157894737,-137.02631578947367,1718.8891795274217,2811.985351817944,3.5469526549829973,1.5145173947161914,1.0951259918039933,22
IG,Invictus Gaming,14,41,23,0.5609756097560976,1756.121951219512,1747.695652173913,1766.888888888889,591,515,0.9251182957049324,0.5114389027697684,0.5365853658536586,0.5121951219512195,0.7073170731707317,0.5853658536585366,0.6208478513356561,0.5853658536585366,0.45121951219512196,748.6829268292682,2117.2755933945364,2827.62906070749,3.2349550700684713,1.5991444563269954,1.2949820141386925,18
TES,Top Esports,129,47,30,0.6382978723404256,1849.2340425531916,1705.6333333333334,2102.6470588235293,789,566,0.9487419227147853,0.529910701850301,0.574468085106383,0.7872340425531915,0.48936170212765956,0.6595744680851063,0.5832320162107395,0.6418439716312057,0.648936170212766,1097.3617021276596,2210.203419472122,2887.6240881791196,3.1403456290125873,1.754147778263571,1.221897507881354,17
NIP,Shenzhen Ninjas in Pyjamas,237,38,15,0.39473684210526316,1791.4473684210527,1698.1333333333334,1852.304347826087,456,539,0.877084226090792,0.49848255511765527,0.5,0.5526315789473685,0.3684210526315789,0.3684210526315789,0.38596491228070173,0.3640350877192982,0.6052631578947368,17.763157894736842,1906.910613294161,2918.290708777084,3.0777818582445833,1.4348879911861918,1.0144693352919574,23
FPX,Fun Plus Phoenix,161,55,37,0.6727272727272727,1754.4,1691.7837837837837,1883.111111111111,835,708,0.979529417889468,0.5312386825566546,0.5454545454545454,0.6,0.41818181818181815,0.6363636363636364,0.5272727272727273,0.6575757575757577,0.5818181818181818,533.2545454545455,2100.0441487377193,2985.2120383036936,3.2862828006466858,1.4625046635990548,1.2193756995398581,18
