,id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel,leaguePoints,rank,wins,losses
0,RnAmi4I94J5RXtdGzYiMppzCXqZ5w522SLUwVVuPe6NQHDs,o5Ko5XlMTfM_I-Zhq2ztC2oyVXsHzaZepNCvmTEdrhWSmdk,Vrub5u7dkyHB_rvb3jmcJe2UxANY02k0d-Ab37CEkBZFQJM4cwH2Bam69QsiE8Wp7FOuEqZS_SkdEA,Just Engageee,4071,1683740470813,573,1063,I,269,236
1,37Ob2iRLB1FlQL9otqlZVsGe9wpZNIw-Lb7aA87IawjQ6Lc,B7XS5YCDQn3Y3yj1PaBmfwi_prFVbqeiMsp7P1xkGcdws5A,YUeYZp2GM7mMHfk_XTX4mcBun3F1e8IkJY0O3cq0-8XX5XdFFMPFlafoDvMRwSUixfTAawZtf7bKQA,TwTv Ronges1,5752,1683722436603,537,1047,I,316,284
2,oPQK5pyHKF-RVhIpt3jT7rJ8zg45zznSc0LkLAFQWWDWzoQ,XgmQZxjv2dG_Zuw2m6LmRguZziH1-FkLaUiRr2AuQ_xvEQ,oTgHZLhiZr48--4_9h7aOQPtis6lVAWb_yvH9ym53TpB0Tc0QHfTxKjEZ0QbZatILqSTOzggs_2UWg,Robính00D,4022,1683712425920,274,1033,I,123,87
3,suADH19hSAz2B769gVLKZ8nn1Od3XgXXpFpqWNjGIPMj-Nli,0tv0IdkWpWauDx6fqqmj25EEZfoaraxgL1POGGM0rcYuqc4,OseJqmnLLQaoZ_29mIel0IQ1jSdyfL_6rIAsOM1RJj_e00nKIIqfIcS9jHnh1AI_lqx7KvB2eYU5Uw,koprtop,3505,1683736208087,281,1030,I,210,174
4,KA2FnAO85o6BoJQSwc3IEJeY2gB3-rvyZG7WwOiQi1mbSHk,oPAUZPtQ_nQcosIqcy2J4nWsnZyFDEljcmjOiInU8-8mxg,mIiVu7AWWqMQpm07CUBXTW2eujWLHuZkX4pdqeTATsqK2IKshylzulAW3b2Zpp82Rj7Gua6J8RqRlw,i can fight,5378,1683736566180,1050,1027,I,395,361
5,DBq1muHW8SNC56r_RAbEC4t6OUWLoHaApIJciuM87yaxfoic,ivJ4pysnyDJOKkcNp8ZEo_pWylhcFhVyrW96oYfAI8ueIjk,r5y9QO-IYnud2XBMCCHVftEo0GxvDpOCSy0ANfHecXiuw4Q6xR0Et088ybILAsQ6ZomVCyKFjJzCgQ,Twitchtv Nyro,5752,1683625446000,87,1026,I,274,237
6,_8SlpK3CN1MQ4e6hoX5ad3UoXdYaGxqppV_bd8zSYpqAGVs,nfTPiA5akRgP3VRerxVMVfnumjuDqci32rY1mx4UfiRaNQ,DBkGw8xUyt9W0MLY9PFU3EEnt1L_d99hNPhSNt2j4ehO72Jgdqq1l9LP1uHfUBuJEbHLB5w-8LTJHQ,STYX HELIXX,5766,1683568200000,122,1026,I,94,49
7,5O1edg8AtxdggnZLjhjO5CRiRUV9B853VGU_6M8kUkgPIWQ,QLZZLa8fqYfwyLTq0FYqIGAdlpE0_JAH6uleFfbt5h_YGw,EpfpwQJzy4XLktywYfxG7p2ERLzQf5s-MaH9NV5Fz4RbPWqiGCYk63qr3HkZuIiJZz6eK4-_u6rJWA,WhiteKnight108,542,1683715288656,699,1026,I,148,118
8,cGntkM8MkeqtJ-oRCuGHndT6GZzoqntkFrBzS__T_NGI3fhlFbVICE8KXg,rsaOlBWcjJB_nQClM4sPRez5gcUzK9NuRMLtDBePWXMggGoY1f4gQlFl,_tdYriK74jHSsBKyhWkBF_w1CeHnlOmxU-GV2pdy2qsKJl9ioqarNMa6WOQbkFmBvKbWxURgCf69Sg,p1ss elo MVP,29,1683676553996,40,1026,I,84,40
9,OGXGd-TdvWRB9ZUjm0emT5TyrilRRpFGluLGA2saFXpGDnnrremzUNEcGw,or9njbpa28EvygsT4jnDtl8VpNZd_axuy7cLVZPznIFiNOAaNbCgNPNi,fzXlILx4xaaWk02Qgac5k20X-EFgWhlOiF1xj4Dy2OCzC9jc_WJm8fi5Uz5dS3tW2f_WrQ5j0u85yQ,BIade Runner2049,5675,1683397138000,68,1025,I,155,123
10,QjgDQf1m_LlNJp073FqJ0146Kbe21WUskk17a6Sde99pGKVDd2YEyblB0A,LCie8Lw9yiSvRR2hWIKEyjrLVxhazKmeNATkBfsi_AIJf6u4Y7zXtfql,elZYYJNI_tfipTu5z-1tTLROff0-lOZgi-Jw-p-DgFpQVT9BFTBj4kd-X1lhDnBk_DEa-ExDNIbGKg,disciplinfreedom,4305,1683661248654,113,1025,I,152,112
11,tlUjuiOwvb7_ShQtUU0-CPAxkjmRxMeNH5jwbvVtRmA7mJ8,3qplicTzebN-flQsZGoVbSZC7qq8E7EFpCVAgyeGZfrHcWg,VrSB5AzkaaIxfdL7PaaJPvR_-gnLBhD-QElWxoWnNj2icX8e0NJlO3a6jUj4vcQajHdnKosfNvigLw,TDS Phantomles,4806,1683580898000,490,1024,I,198,159
12,ox4U4A4hd4qt-6Q01DW0kEJSKp1IQRy3ns-GlxWphOtCPUo,k4LnQ1Xhg1l8_Y9vXC3dWAcEdkdSjBIVf8oXXSIFGE9X_Bo,_CkrNzvXfYoZhyeIsLbqvpaih9C86p2gLOU5E8wkY3aurhh6K4AC7frlulQXv3ckuQxrsksu2S6jLQ,Brevitate Vitae,1670,1683738934092,602,1023,I,346,309
13,7W7aYxII1EOq32uPiZp2-uYCOQJ3YHBq-o6clUGQTzgRNbfsH14ckxTJzw,ZUGZWC4rTlMaKVAXSx1rCXDlhKTCQDbQdDalzfGNMWMTKkFrmZJuLd56,5OmbT2x4LS5DLo0CQjZhqaU-VXeak4uMnBQfWyxERo--VsWuzzvjBEKGK3whA4qfMyALQKgpFxoYFA,coconut dog1,5804,1683561139000,78,1023,I,224,158
14,iquc8NLMvgMSxsS7fZP1nk1FUnldd-JwWbvYCaclTjCOino,TluI4su7Dv60yuYQECYD-RxM1nzFL5y7YUp4oNZTmDYT_g,beam9C5Dd2Qccq1qmH7NniHFpXyWpjczAEFyFrHabauqz4iJHU83fzwBm1Fef-Ctmnwj2eeSdQ1CJA,TheDisconnect,5769,1683690265832,823,1022,I,181,143
15,hGV1IEn6w3eOoMvER4NpoHr6M3bk-Z7L6-MNwmTxyerreH8,IZWqhQD75YkUmVsp_D104OZXwrQVSOO1AcYkOs25bQ6mag,Gb5f-DXh803Nax6ij0P46lP7N5r80JPtTokz0o0HI3lipeXYfb7S1QTyTiSgDB5khZDckb_wHBCL8g,rtgzrefzef,7,1683736675072,895,1021,I,634,605
16,TUh8o7df5y1aMbU5snTbaDtOKdnkVAP-GCCuhNLE9hcr3NQ,UaK9-WmU1sPhvEX9vFald67VJByrgG2QeZKW-ycE6m18Byc,yDpiWEkYYC7IqMB1RsHyqXZQaWILnrcVqlqHZWyXNdnYMj6UDr1scEyNbIDPJUsF6NcO1OG5dQEMRw,homielander,4832,1683718846990,440,1021,I,126,98
17,avQpSzpBiFaHL-agSlleWf82ff1M6gFb2-GCZgU46TsFJtY,nxzxWPMjdxERtyf9egqQb4JC04q1pUHrf6HDCi1giV98jtI,z7e63YotF3xUCiXyRHdGOQIGltJE_vdBYd9MCUrhoK_LXV_RN6h7zacmHBpdW-M0AkA1rxdDctHXdw,Sir Leywin,3836,1683738965432,339,1020,I,126,90
18,fZ5OIu8DuGRQdkKlHR0BLx2EV1wxowS5Jw-K2Bnw8pbzbI5nioBKxSRvZw,8-IS3ym3YLoSwn7rSQVcsY4_WvHU9hZXe0jiDvPSD5dyWZHMgy8P8kP4,baUhkFi7Zf8opSRJqLospbXFjWFMBISdXXqCjur2NcU8PEQqEXLHzhpjrTxGnwkw5xA1upuOA5YXXA,till i w1n,5766,1683147507000,102,1020,I,118,80
19,Rrj9Frs9Ebb5BQY9XpOHs75cqf4TWq3Dp1HWsdulyWAZfQ57,2h49Bdp90_fgyxL17ZUbcCGryEHo5OvKEJ0gcmAkGM92c-Kmy0RqnizS,o_IIhkqPWRhHyRYQMwLAKFn-zDvml1uY7L0m9s5pIEzh-ngeLfgi4ZsFlokcutC7L_gOQNWZKYW3GQ,Annie IRL,5585,1683689625687,790,1016,I,756,724
20,rHMdmQhEfpTrYKu4ltmiCq6PzB08qw3Lu2BCXi3kihmdgVv2,R7muoq-SX9maL-Sai0xv-Mad4kNKJwo6Ld3G_xHVuTU7K21DksMontFw,U_XoD0XqzBOrIw1VW3ylHWFxXm5Uc3jM4J_fIpBcEewSaeuW1KFzaLyAZR_JEKQxuUUgxMmqGlILbw,twitter mirskill,3838,1683564175000,68,1014,I,224,167
